uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
0.0,29.9,114.346,34.2,0,0.0,32,99.0,0,39.2,30.6,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.5,39.9,40.1,40.9,40.2,39.9,0.0,31.3,32.1,35.6,32.3,36.9,36.5,33.1,31.8,405.5,405.441,9.2,0,0,0,0,0,0
0.0,29.9,130.82,34.2,0,-0.0244141,31,99.0,0,39.1,30.6,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.4,39.8,40.0,40.9,40.1,39.9,0.0,31.3,32.0,35.3,32.1,36.9,36.4,33.0,31.8,405.531,405.481,9.2,0,0,0,0,0,0
0.0,29.9,126.924,34.3,0,5.01709,207,3.0,0,39.1,30.6,4.3064,0.0,0.0,0.0,0,0,0,0,10,0.0,0.0,6000,0,0,0,100,39.4,39.8,40.0,40.8,40.1,39.7,4.16767e-08,31.2,32.0,35.0,32.1,36.8,36.4,33.1,31.8,405.537,405.488,9.2,0,0,0,0,0,0
0.0,29.8,111.377,34.3,0,10.8521,360,4.0,0,41.1,31.0,4.3064,2325.75,2326.8,2345.7,0,0,0,0,10,127.0,83.5526,5928,0,0,0,100,39.3,39.7,39.9,40.6,39.8,39.5,2.71536e+23,31.2,32.1,35.1,31.9,36.8,37.8,34.8,31.8,405.481,405.377,9.2,0,0,0,0,0,0
0.0,29.8,123.838,34.6,0,15.4419,356,5.0,0,44.0,31.7,4.31024,2360.4,2362.5,2381.4,0,104,104,106,10,110.0,72.3684,6000,425,-114,440,97,39.4,39.7,39.9,40.7,39.9,39.4,0.0,31.8,33.0,38.1,33.4,36.8,39.2,36.5,32.0,405.381,405.256,9.2,0,0,0,10,10,10
0.0,30.1,115.938,34.6,0,15.1733,360,5.0,0,46.2,32.7,4.31659,2354.1,2362.5,2383.5,0,95,94,96,10,126.0,82.8947,5999,389,-71,396,98,39.6,39.9,40.1,40.8,40.0,39.5,-107479000.0,32.5,33.7,41.5,35.0,36.8,40.2,37.8,32.6,405.275,405.158,9.2,0,0,0,9,9,9
0.0,31.6,110.234,34.5,0,15.1489,363,4.0,0,47.6,33.6,4.32252,2352.0,2362.5,2381.4,0,90,91,93,10,127.0,83.5526,6001,368,-81,377,98,39.8,40.1,40.3,40.9,40.1,39.6,-107479000.0,33.1,34.3,43.9,35.9,36.8,41.0,38.7,33.2,405.169,405.04,9.2,0,0,0,9,9,9
0.0,31.6,122.373,34.5,0,15.1001,357,5.0,0,48.6,34.4,4.32832,2355.15,2362.5,2382.45,0,89,91,93,10,120.0,78.9474,6000,357,-66,363,98,40.0,40.4,40.6,40.9,40.2,39.7,-107479000.0,33.5,34.8,47.1,37.2,36.9,41.7,39.5,33.9,405.062,404.957,9.2,0,0,0,9,9,9
0.0,32.1,114.883,34.5,0,14.917,363,4.0,0,49.4,34.9,4.33403,2366.7,2365.65,2385.6,0,80,82,84,10,120.0,78.9474,5998,341,-76,349,98,40.3,40.7,40.8,41.1,40.3,39.9,2.71536e+23,33.8,35.2,48.9,38.0,36.9,42.2,40.2,34.6,404.944,404.803,9.2,0,0,0,8,9,8
0.0,32.7,121.328,34.4,0,14.7461,357,4.0,0,50.0,35.3,4.33935,2356.2,2364.6,2383.5,0,81,82,85,10,127.0,80.9211,5999,314,-59,320,98,40.5,40.9,41.0,41.2,40.5,40.0,0.0,34.2,35.6,51.9,40.0,36.9,42.6,40.8,35.1,404.825,404.706,9.2,0,0,0,7,8,8
