,Distribuidor,Rotor Atual,Rotor Otimizado,Potência Atual,Potência Otimizada,Ganho (%)
598,26.6968,7.482909999999999,22.027881622314453,1057.0,1085.375732421875,2.684553682296594
599,11.669900000000002,0.6835939999999976,0.5256528854370117,194.00000000000023,194.1558837890625,0.0803524685888002
600,44.7144,21.875,9.180118560791016,1823.0,1825.54833984375,0.1397882525370268
601,28.7476,9.008789999999998,11.708362579345703,1204.0,1203.6826171875,-0.0263606987126245
602,31.8604,10.949699999999998,13.548613548278809,1324.0,1322.734130859375,-0.0956094517088368
603,43.2495,20.6177,8.768548011779785,1800.0,1803.94921875,0.2194010416666666
604,21.3745,5.175779999999999,1.4415340423583984,801.0,800.8847045898438,-0.0143939338522159
605,33.0322,10.913099999999998,8.921847343444824,1297.0,1298.105712890625,0.0852515721376252
606,12.6587,2.661129999999998,0.2204189300537109,209.0,207.98382568359372,-0.4862078068929426
607,40.3076,18.1152,5.918740749359131,1640.0,1647.238037109375,0.4413437261814024
608,39.1968,17.211899999999996,3.822275638580322,1615.0,1619.123046875,0.255297020123839
609,47.5342,22.9858,12.487293243408203,1977.0,1980.457275390625,0.174874830077137
610,38.7817,16.8701,11.781617164611816,1644.0,1645.7493896484375,0.1064105625570255
611,28.3203,8.276369999999998,8.400313377380371,1164.0,1167.437255859375,0.2952968951353092
612,15.5029,5.212399999999998,0.0449161529541015,297.0,299.21734619140625,0.7465812092276936
613,38.9282,16.747999999999998,4.246305465698242,1614.0,1618.412353515625,0.2733800195554522
614,31.3599,10.5591,11.112553596496582,1237.0,1236.80810546875,-0.0155128966248989
615,31.0791,10.241699999999998,2.549262046813965,1253.0,1253.9732666015625,0.077674908344972
616,14.1113,4.760739999999998,0.4850025177001953,237.0,236.9052734375,-0.0399690137130801
617,36.3159,14.453099999999996,7.550439834594727,1503.0,1505.4287109375,0.1615908807385229
618,52.124,25.8179,14.941120147705078,1989.0,1993.9517822265625,0.2489583824314982
619,31.1646,9.0332,22.140106201171875,1027.0,1042.60009765625,1.518996850657254
620,15.5762,2.197269999999996,0.0738592147827148,399.0000000000001,398.19537353515625,-0.2016607681312941
621,38.9404,16.9678,5.164346694946289,1659.0,1660.59423828125,0.0960963400391802
622,35.7178,13.6597,5.78123664855957,1441.0,1443.126708984375,0.1475856338913948
623,42.2485,19.6655,12.100773811340332,1762.0,1766.6298828125,0.262762929199773
624,29.5898,9.74121,8.759881973266602,1187.0,1184.9373779296875,-0.1737676554601937
625,15.1123,4.999999999999998,0.0449161529541015,283.0,284.636962890625,0.578432116828622
626,43.6768,20.0,7.545019149780273,1782.0,1786.9669189453125,0.2787272135416666
627,25.0854,6.640619999999998,4.907702445983887,968.0,967.1039428710938,-0.0925678852175878
628,43.3716,20.751999999999995,7.665523529052734,1829.0,1832.209716796875,0.175490256800164
629,21.0571,4.284669999999998,24.12714385986328,774.0,777.52587890625,0.455539910368217
630,17.5781,5.541989999999998,0.4577932357788086,543.0000000000001,544.072509765625,0.1975156106123179
631,44.3848,21.5088,8.432844161987305,1829.0,1832.6416015625,0.1991034205850191
632,28.0151,7.739259999999998,9.883749008178713,1050.0,1046.5418701171875,-0.329345703125
633,35.6812,13.8062,15.21437931060791,1466.0,1466.0433349609375,0.0029560000639495
634,30.1025,9.411619999999996,6.776342391967773,1236.0,1238.48681640625,0.2011987383697411
635,41.9678,19.0,5.646232128143311,1712.0,1717.0869140625,0.2971328307535046
636,44.7998,21.8018,9.464653968811035,1836.0,1838.7005615234373,0.147089407594635
637,29.541,10.046399999999998,10.469487190246582,1206.0,1204.8642578125,-0.0941743107379767
638,29.9927,10.351599999999998,14.883584976196287,1178.0,1180.683837890625,0.2278300416489813
639,39.3799,17.297399999999996,5.346694469451904,1613.0,1616.8365478515625,0.2378516956951333
640,34.9243,12.9639,13.10584545135498,1463.0,1467.7393798828125,0.3239494109919685
641,15.5762,2.709959999999999,0.3802022933959961,430.0000000000001,430.02435302734375,0.0056634947310782
642,30.4321,9.545899999999998,13.80608367919922,1159.0,1160.0703125,0.0923479292493529
643,31.0913,10.278299999999998,6.318642616271973,1269.0,1268.757080078125,-0.0191426258372734
644,31.0181,10.205099999999998,0.66339111328125,1252.0,1254.815185546875,0.2248550756289936
645,37.4023,14.999999999999998,1.6037025451660156,1499.0,1504.8349609375,0.3892569004336224
646,26.4404,7.678219999999998,23.806066513061523,1076.0,1119.65283203125,4.056954649744424
647,38.5742,16.5405,3.793712139129639,1612.0,1615.721435546875,0.2308582845455955
648,14.917,3.999999999999999,0.2204189300537109,333.0,334.820556640625,0.5467137058933934
649,11.2183,1.4404299999999992,0.6502895355224609,195.0000000000001,194.061279296875,-0.4813952323718529
650,38.916,16.845699999999997,4.425223350524902,1591.0,1593.619873046875,0.1646683247564424
651,35.2661,13.293499999999998,14.91817569732666,1277.0,1276.9659423828125,-0.0026670021290133
652,46.9971,22.6685,10.86418342590332,1970.0,1973.3525390625,0.1701796478426396
653,11.438,0.8300779999999985,0.1609659194946289,198.0,195.49945068359372,-1.2629036951546715
654,50.4517,24.292,13.224340438842772,2065.0,2068.66357421875,0.1774127950968523
655,30.8838,10.278299999999998,7.524042129516602,1224.0,1223.353515625,-0.0528173508986928
656,31.9214,10.473599999999998,9.78003215789795,1328.0,1327.546142578125,-0.0341760106833584
657,12.6831,1.2939499999999988,0.0449161529541015,298.0,296.46942138671875,-0.5136169843225671
658,29.9194,9.52148,15.659072875976562,1190.0,1196.3065185546875,0.5299595424107142
659,34.9609,13.0005,2.606078147888184,1479.0,1483.17822265625,0.28250322219405
660,27.124,7.324219999999999,6.315996646881104,963.0,962.9996948242188,-3.169011227933541e-05
661,32.1411,11.938499999999998,13.241211891174316,1314.0,1314.51123046875,0.0389064283675799
662,29.5654,9.74121,7.894280433654785,1178.0,1176.112548828125,-0.1602250570352292
663,21.4966,4.980469999999998,24.22755622863769,810.0,812.997314453125,0.3700388213734568
664,31.1401,10.5835,7.693892478942871,1242.0,1243.684326171875,0.1356140235004025
665,43.75,21.1304,7.454095840454102,1827.0,1831.3704833984373,0.2392163874350027
666,11.694300000000002,1.7333999999999978,20.08777236938477,210.9999999999999,211.396728515625,0.1880229931872577
667,32.9102,11.4624,14.601798057556152,1300.0,1302.997802734375,0.2306002103365384
668,39.4409,17.5781,3.793488025665283,1594.0,1600.337890625,0.3976091985570891
669,29.5898,10.314899999999998,7.744267463684082,1156.0,1209.7587890625,4.650414278762976
670,27.8198,8.349609999999998,10.331616401672363,1179.0,1179.5308837890625,0.0450283112012298
671,28.1494,8.435059999999998,19.677040100097656,1115.0,1130.704345703125,1.4084614980381165
672,33.3008,11.938499999999998,2.278727531433105,1231.0,1233.42529296875,0.1970181128147847
673,38.9282,17.077599999999997,3.3569536209106445,1533.0,1538.7950439453125,0.3780198268305609
674,31.8726,10.131799999999998,6.351582050323486,1301.0,1306.4892578125,0.4219260424673328
675,11.5112,0.5371089999999974,1.9151935577392576,195.9999999999999,195.42120361328125,-0.2953042789380799
676,30.0903,9.399409999999998,10.195290565490724,1244.0,1244.6053466796875,0.0486613086565514
677,11.560100000000002,0.903319999999999,0.1921272277832031,209.0,207.6805419921875,-0.6313196209629186
678,22.583,6.469729999999998,25.044109344482425,934.0,957.2908325195312,2.493665151984074
679,18.9331,4.138179999999997,0.0855875015258789,680.0,679.08642578125,-0.1343491498161764
680,32.6416,11.499,5.505939483642578,1326.0,1328.8363037109375,0.2138992240526018
681,34.1797,12.438999999999998,9.432538032531738,1387.0,1387.794921875,0.0573123197548666
682,45.0073,21.9116,8.864280700683594,1806.0,1810.4974365234373,0.2490274929921096
683,11.9385,1.1962899999999976,0.3802022933959961,205.0,206.15179443359372,0.5618509432164633
684,30.1758,10.046399999999998,10.098283767700195,1199.0,1199.81689453125,0.0681313203711426
685,32.4341,11.901899999999998,12.461797714233398,1298.0,1299.71923828125,0.1324528722072419
686,38.3789,16.3086,4.144687652587891,1532.0,1537.25244140625,0.3428486557604438
687,33.6914,11.975099999999998,10.906889915466309,1404.0,1403.7862548828125,-0.0152240111956908
688,30.2979,9.936519999999998,10.697970390319824,1217.0,1217.54150390625,0.0444949799712407
689,44.7266,21.0,8.524819374084473,1829.0,1833.991943359375,0.2729329338094587
690,11.779799999999998,1.0864299999999982,0.1997604370117187,186.0000000000001,186.72235107421875,0.3883607925906644
691,24.8047,6.799319999999998,24.4018669128418,943.0,952.2442626953124,0.9803035732038704
692,25.3906,6.494139999999998,5.798414707183838,972.0,970.5926513671876,-0.1447889539930555
693,38.4399,16.333,2.772379875183105,1461.0,1465.8468017578125,0.3317455001925051
694,32.7026,11.645499999999998,14.712479591369627,1332.0,1335.012939453125,0.226196655640015
695,35.022,13.0127,8.6871337890625,1404.0,1405.5723876953125,0.1119934255920584
696,30.5054,10.5225,11.039015769958496,1197.0,1195.6180419921875,-0.1154517968097326
697,28.9551,9.0332,14.696246147155762,1173.0,1175.85791015625,0.2436411045396419
698,26.9409,7.580569999999998,6.300967216491699,976.0,974.0250854492188,-0.2023478023341444
