,uhlm_pressao,temp_uhlm_oleo,uhrv_pressao,temp_uhrv_oleo,status,distribuidor,velocidade,posicao_rotor,turbina_vazao,temp_manc_casq_comb,temp_manc_casq_esc,acumulador_energia,tensao_fase_A,tensao_fase_B,tensao_fase_C,tensao_neutro,corrente_fase_A,corrente_fase_B,corrente_fase_C,corrente_neutro,tensao_excitacao,corrente_excitacao,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,temp_enrol_A,temp_enrol_B,temp_enrol_C,temp_nucleo_estator_01,temp_nucleo_estator_02,temp_nucleo_estator_03,temp_tiristor_01,temp_tiristor_02,temp_tiristor_03,temp_crowbar_01,temp_crowbar_02,temp_transf_excitacao,temp_casq_rad_comb,temp_mancal_casq_guia,temp_mancal_cont_esc,nivel_montante,nivel_jusante,horimetro_eletrico,tensaoL_fase_AB,tensaoL_fase_BC,tensaoL_fase_CA,correnteL_fase_A,correnteL_fase_B,correnteL_fase_C
potencia_reativa,,-0.57,-0.17,0.06,0.1,-0.86,-0.6,0.42,,-0.22,-0.76,0.44,-0.61,-0.61,-0.61,,-0.93,-0.93,-0.93,0.43,-0.69,-0.69,-0.03,-0.93,1.0,-0.93,0.04,-0.69,-0.71,-0.7,-0.61,-0.59,-0.61,-0.02,-0.03,-0.24,-0.03,0.08,-0.45,-0.55,-0.59,-0.62,-0.37,-0.15,0.44,,,,-0.93,-0.93,-0.93
potencia_aparente,,0.65,0.21,-0.02,-0.12,0.94,0.7,-0.52,,0.26,0.84,-0.4,0.72,0.72,0.72,,1.0,1.0,1.0,-0.38,0.79,0.79,0.03,1.0,-0.93,1.0,0.0,0.75,0.76,0.76,0.66,0.64,0.65,0.01,0.03,0.25,0.02,-0.11,0.53,0.65,0.68,0.7,0.41,0.17,-0.4,,,,1.0,1.0,1.0
fp,,0.01,-0.0,0.0,0.0,-0.0,-0.02,0.02,,0.0,0.01,0.02,-0.02,-0.02,-0.02,,0.0,0.0,0.0,0.02,-0.02,-0.02,0.07,0.01,0.04,0.0,1.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.01,-0.01,-0.01,0.02,,,,0.0,0.0,0.0
temp_enrol_A,,0.87,0.35,0.4,-0.2,0.71,0.64,-0.48,,0.32,0.78,-0.21,0.65,0.65,0.65,,0.74,0.75,0.75,-0.19,0.71,0.71,0.03,0.75,-0.69,0.75,-0.01,1.0,1.0,1.0,0.99,0.99,0.99,0.04,0.16,0.72,0.42,0.38,0.83,0.83,0.82,0.88,0.33,0.25,-0.17,,,,0.74,0.74,0.74
temp_enrol_B,,0.86,0.34,0.39,-0.2,0.72,0.64,-0.48,,0.32,0.78,-0.22,0.65,0.65,0.65,,0.76,0.76,0.76,-0.2,0.72,0.72,0.03,0.76,-0.71,0.76,-0.01,1.0,1.0,1.0,0.99,0.98,0.99,0.04,0.15,0.71,0.41,0.36,0.83,0.83,0.82,0.88,0.33,0.25,-0.18,,,,0.76,0.76,0.76
temp_enrol_C,,0.86,0.34,0.39,-0.2,0.72,0.64,-0.48,,0.32,0.78,-0.21,0.65,0.65,0.65,,0.75,0.76,0.76,-0.2,0.71,0.71,0.03,0.76,-0.7,0.76,-0.01,1.0,1.0,1.0,0.99,0.98,0.99,0.04,0.15,0.71,0.41,0.37,0.83,0.82,0.82,0.87,0.33,0.25,-0.18,,,,0.75,0.76,0.75
temp_nucleo_estator_01,,0.86,0.36,0.46,-0.21,0.63,0.6,-0.46,,0.32,0.73,-0.15,0.61,0.61,0.61,,0.65,0.66,0.66,-0.14,0.67,0.67,0.02,0.66,-0.61,0.66,-0.01,0.99,0.99,0.99,1.0,1.0,1.0,0.04,0.17,0.77,0.47,0.44,0.85,0.82,0.81,0.87,0.3,0.26,-0.11,,,,0.65,0.65,0.65
temp_nucleo_estator_02,,0.86,0.35,0.48,-0.21,0.61,0.59,-0.45,,0.31,0.71,-0.14,0.6,0.6,0.6,,0.63,0.64,0.64,-0.13,0.65,0.65,0.02,0.64,-0.59,0.64,-0.01,0.99,0.98,0.98,1.0,1.0,1.0,0.04,0.17,0.79,0.48,0.47,0.85,0.81,0.8,0.86,0.29,0.26,-0.1,,,,0.64,0.64,0.63
temp_nucleo_estator_03,,0.86,0.35,0.47,-0.21,0.63,0.59,-0.45,,0.31,0.72,-0.15,0.6,0.6,0.6,,0.65,0.65,0.66,-0.14,0.66,0.66,0.02,0.65,-0.61,0.65,-0.01,0.99,0.99,0.99,1.0,1.0,1.0,0.04,0.17,0.77,0.47,0.45,0.85,0.82,0.8,0.86,0.3,0.26,-0.11,,,,0.65,0.65,0.65
temp_tiristor_01,,0.04,-0.02,-0.05,-0.01,0.01,0.01,-0.01,,0.01,0.01,-0.19,0.01,0.01,0.01,,0.01,0.01,0.01,-0.18,0.02,0.02,-0.0,0.01,-0.02,0.01,-0.01,0.04,0.04,0.04,0.04,0.04,0.04,1.0,-0.0,0.03,0.26,0.17,-0.04,0.04,0.04,0.04,-0.01,0.01,-0.17,,,,0.01,0.01,0.01
temp_tiristor_02,,0.14,0.06,0.15,-0.03,0.03,0.06,-0.05,,0.04,0.07,0.07,0.06,0.06,0.06,,0.03,0.03,0.03,0.07,0.06,0.06,0.0,0.03,-0.03,0.03,0.0,0.16,0.15,0.15,0.17,0.17,0.17,-0.0,1.0,0.22,0.16,0.19,0.16,0.12,0.12,0.13,-0.0,0.02,0.08,,,,0.03,0.03,0.03
temp_tiristor_03,,0.68,0.22,0.52,-0.16,0.27,0.4,-0.37,,0.22,0.44,-0.02,0.4,0.4,0.4,,0.25,0.25,0.25,-0.01,0.42,0.42,0.02,0.25,-0.24,0.25,-0.01,0.72,0.71,0.71,0.77,0.79,0.77,0.03,0.22,1.0,0.67,0.77,0.56,0.59,0.59,0.64,0.09,0.15,0.04,,,,0.25,0.25,0.25
temp_crowbar_01,,0.42,0.05,0.31,-0.09,0.04,0.13,-0.14,,0.12,0.16,-0.13,0.14,0.14,0.14,,0.02,0.02,0.02,-0.11,0.14,0.14,0.01,0.02,-0.03,0.02,-0.01,0.42,0.41,0.41,0.47,0.48,0.47,0.26,0.16,0.67,1.0,0.94,0.3,0.33,0.32,0.36,-0.04,0.06,-0.07,,,,0.02,0.02,0.02
temp_crowbar_02,,0.35,0.02,0.44,-0.08,-0.08,0.01,-0.06,,0.07,0.06,0.05,0.01,0.01,0.01,,-0.11,-0.11,-0.11,0.06,0.02,0.02,0.0,-0.11,0.08,-0.11,-0.01,0.38,0.36,0.37,0.44,0.47,0.45,0.17,0.19,0.77,0.94,1.0,0.28,0.22,0.21,0.27,-0.08,0.05,0.12,,,,-0.11,-0.11,-0.11
temp_transf_excitacao,,0.75,0.41,0.49,-0.23,0.51,0.59,-0.47,,0.3,0.61,0.09,0.59,0.59,0.59,,0.53,0.53,0.53,0.11,0.62,0.62,0.02,0.53,-0.45,0.53,0.0,0.83,0.83,0.83,0.85,0.85,0.85,-0.04,0.16,0.56,0.3,0.28,1.0,0.77,0.74,0.75,0.26,0.26,0.1,,,,0.53,0.53,0.53
